leg1_x,leg1_y,leg2_x,leg2_y
-0.057668,-0.177779,0.049017,-0.192473
-0.056483,-0.176934,0.048402,-0.192774
-0.055212,-0.176048,0.047715,-0.193027
-0.053854,-0.175117,0.046955,-0.193229
-0.052410,-0.174140,0.046123,-0.193378
-0.050881,-0.173112,0.045218,-0.193471
-0.049268,-0.172032,0.044239,-0.193505
-0.047573,-0.170894,0.043187,-0.193478
-0.045797,-0.169697,0.042061,-0.193387
-0.043942,-0.168436,0.040862,-0.193228
-0.042012,-0.167107,0.039592,-0.192999
-0.040007,-0.165707,0.038249,-0.192696
-0.037932,-0.164232,0.036835,-0.192316
-0.035853,-0.162756,0.035378,-0.191919
-0.033834,-0.161359,0.033904,-0.191565
-0.031871,-0.160039,0.032413,-0.191252
-0.029961,-0.158795,0.030905,-0.190977
-0.028103,-0.157628,0.029382,-0.190740
-0.026293,-0.156535,0.027843,-0.190538
-0.024529,-0.155517,0.026288,-0.190370
-0.022808,-0.154572,0.024719,-0.190233
-0.021128,-0.153699,0.023135,-0.190125
-0.019486,-0.152898,0.021537,-0.190045
-0.017879,-0.152167,0.019924,-0.189992
-0.016306,-0.151504,0.018299,-0.189962
-0.014765,-0.150910,0.016660,-0.189956
-0.013252,-0.150382,0.015009,-0.189970
-0.011767,-0.149919,0.013345,-0.190003
-0.010308,-0.149521,0.011671,-0.190053
-0.008871,-0.149185,0.009985,-0.190120
-0.007456,-0.148910,0.008288,-0.190200
-0.006061,-0.148695,0.006582,-0.190294
-0.004685,-0.148538,0.004867,-0.190398
-0.003325,-0.148439,0.003143,-0.190512
-0.001981,-0.148395,0.001412,-0.190634
-0.000651,-0.148404,-0.000326,-0.190763
0.000666,-0.148466,-0.002070,-0.190898
0.001972,-0.148579,-0.003819,-0.191036
0.003266,-0.148741,-0.005572,-0.191176
0.004551,-0.148950,-0.007328,-0.191318
0.005827,-0.149205,-0.009086,-0.191461
0.007094,-0.149505,-0.010845,-0.191602
0.008354,-0.149848,-0.012603,-0.191740
0.009606,-0.150231,-0.014360,-0.191876
0.010852,-0.150655,-0.016114,-0.192007
0.012092,-0.151116,-0.017864,-0.192133
0.013325,-0.151613,-0.019609,-0.192252
0.014552,-0.152145,-0.021346,-0.192364
0.015774,-0.152710,-0.023075,-0.192468
0.016990,-0.153307,-0.024795,-0.192564
0.018199,-0.153934,-0.026503,-0.192649
0.019402,-0.154589,-0.028198,-0.192724
